canal,horaInicio,horaFin,titulo,presentadores,color,url
Gelatina,10:00,12:00,Circo Freak,Matias Colombatti,#ff2379ff,https://www.youtube.com/watch?v=w4wL6q4A1PY
FutuRock,7:00,10:00,Total Normalidad,"Nico Fiorentino, Florencia Gutierrez y Fernanda Cornejo.",#233cffff,https://www.youtube.com/watch?v=zYFRgfqA8a4
FutuRock,10:00,13:00,Segurola y Habana,"Julia Mengolini, Matu Rosu y Werner Pertot.",#233cffff,https://www.youtube.com/watch?v=eJk9GDXCsHI
FutuRock,13:00,14:00,Mira Quien Vino,Julia Mengolini,#233cffff,https://www.youtube.com/watch?v=bCokh0JcFI4
FutuRock,14:00,16:00,Pariso Artificial,Fero Soriano y Jose Amore,#233cffff,https://www.youtube.com/watch?v=8jdffItLeuM
FutuRock,16:00,18:00,Furia Bebe,"Malena Pichot, Danila Saiegh y Vanesa Strauch.",#233cffff,https://www.youtube.com/watch?v=p6mWIL6Wpzs
FutuRock,18.00,20;00,La Hora Animada,Matías Messoulam y Barbi Recanati.,#233cffff,https://www.youtube.com/watch?v=ukqB3-3qk34
OLGA,6:30,8:00,Mataron al Profe de Zumba,"La Negra Vernaci, Marcos Aramburu y Paulo Kablan",#ff900aff,
OLGA,8:00,10:00,Sería Increíble ,"Nati Jota, Damián Betular, Eial Moldavsky y Toto Kirzner",#ff900aff,https://www.youtube.com/watch?v=09ePiEbStc4
OLGA,10:00,12:30,Soñé que Volaba ,"Migue Granados, Vicky Garabal, Homero Pettinato y Lucas Fridman",#ff900aff,
OLGA,12:30,14:30,Tapados de Laburo,"Nacho Elizalde, Paula Chaves, Luli González y equipo",#ff900aff,
OLGA,14:30,16:30,"TDT 
(Todo  De Taylor)","   Marti Benza, Nico Ferrero, Gian Odoguardi, 
Cami Jara y Juli Manzotti",#ff900aff,
LuzuTv,6:30,7:00,Luzu Te Activa ,La Lucas,#ff900aff,https://www.youtube.com/watch?v=fpqK9J5J2cQ
LuzuTv,7:00,8:00, FM Luzu ,Cris Vanadias ,#00b20bff,
LuzuTv,8:00,10:00,"AQN  
(Antes Que Nadie)","Diego Leuco. Mica Vázquez, Martín Dardik y Yoyi Francella",#00b20bff,https://www.youtube.com/watch?v=fpqK9J5J2cQ
LuzuTv,10:00,12:30,"NDN 
(Nadie Dice Nada)","Nico Occhiato, Santi Talledo y Momi Giardina",#00b20bff,
LuzuTv,12:30,13:30,El Show del Verano,Flor Peña y Marley,#00b20bff,
LuzuTv,13:30,15:30,"PYF 
(Patria y Familia)",Fede Popgold,#00b20bff,
LuzuTv,15:30,17:30,"SFL 
(Se Fue Larga)","Fermín Bo, Dominique Faena, Sofía Calvo, 
Belén Negri, Lucas Lezin y Teo D’Elía",#00b20bff,
LuzuTv,17:30,18:30,FM al Atardecer,Cris Vanadias,#00b20bff,
VORTERIX,8:00,10:00,No preguntes por Rusia,Mario Pergolini,#00b20bff,
VORTERIX,10:00,13:00,¿Y qué?,"Guillermo Aquino, Navaja Crimen, Anacleta Chicle y Damián Kuc",#00b20bff,https://www.youtube.com/watch?v=FHmeCXICio4
VORTERIX,13:00,15:00,"NSP 
(No Se Pudo)","Juan Castro, Ernesto Provitilo, Juan Igal, Alexis Valido, 
Emiliano ""Palito"" Santamaria y Valentina Kavata",#8e0affff,
VORTERIX,15:00,17:00,Se Nota Mucho,"Seba Varela del Río, junto a Agos Palazzolo y Manu Olivari",#8e0affff,
VORTERIX,17:00,19:00,Esto no Sucedió,"Tomás Pergolini, Ezequiel Schapira y Guillermina Bianchi",#8e0affff,
VORTERIX,19:00,21:00,Paren la Mano,"Luquitas Rodríguez,Rober Galati,Germán Beder, 
Alfredo Montes de Oca,Joaquín Cavanna (""Joaco"")",#8e0affff,
